"","Keywords","Female.North","Female.Middle","Female.South","Female.East","Male.East","Male.North","Male.Middle","Male.South"
"1945","內陷",0.000497522989034171,0.000752240134880055,0.00123157248913354,0,0,0.000459139959568551,0,0
"1946","內心",0.00100984449912536,0.00138805018054565,0.000811616025555381,0.00134816068437295,0.00320715258427237,0.00169443047299376,0.000459455094328611,0.00217978847291107
"1947","內臟",0.000183608090750066,0.000173506272568206,0.000486969615333229,0.00134816068437295,0.00320715258427237,0.00021180380912422,0.000459455094328611,0.000435957694582214
"1948","嫩豆腐",0.000485127868164421,0.0005501243073569,0.000514666930814154,0,0.0101686963122164,0.00022385055031024,0,0
"1949","能帶",9.70255736328842e-05,0.000183374769118967,0,0,0.00338956543740546,0.00067155165093072,0,0.000460753610842652
"1950","能力",0.000475000316996966,0.000179546629201754,0.000503922720847947,0,0,0.000657532308500192,0.00142635097109554,0.00135340469329777
"1951","能量",0.000485127868164421,0,0.000171555643604718,0,0,0.00044770110062048,0.000485587469524607,0.00138226083252795
"1952","尼克",0.000643230901431814,0.000202613794871821,0,0,0,0,0,0
"1953","泥巴",0.000205401231662389,0.000582301171060684,0,0,0,0,0.000513989562677386,0
"1954","泥沙",0.000298513793420503,0.000564180101160041,0.000175938927019077,0,0,0.000229569979784275,0,0
"1955","年度",0.000194051147265768,0,0.000343111287209436,0,0.00338956543740546,0.00044770110062048,0,0.000460753610842652
"1956","年糕",0.00459020226875164,0.00694025090272826,0.00535666576866551,0.00134816068437295,0.00320715258427237,0.0021180380912422,0.00367564075462889,0.00174383077832885
"1957","年貨",9.70255736328842e-05,0.000183374769118967,0.000171555643604718,0,0,0.00022385055031024,0.000971174939049215,0
"1958","年齡",0.000410802463324779,0,0.000181589962190649,0,0,0,0.000513989562677386,0
"1959","年輕人",0.00057000038039636,0.000718186516807016,0.000503922720847947,0,0,0.000876709744666922,0.00190180129479405,0.000451134897765924
"1960","黏手",0.000380000253597573,0,0.000335948480565298,0.00139509484538283,0,0.000219177436166731,0.000475450323698513,0.000451134897765924
"1961","黏土",0.000194051147265768,0.000733499076475867,0.000343111287209436,0,0,0.00044770110062048,0.000971174939049215,0
"1962","念頭",0.00104500069739333,0.00125682640441228,0.000839871201413244,0.00139509484538283,0,0.000657532308500192,0.000475450323698513,0
"1963","娘",0.000796036782454674,0.000752240134880055,0.00052781678105723,0,0,0.000688709939352826,0,0
"1964","娘娘",0.000194051147265768,0.000366749538237933,0.000857778218023589,0.00142483986643753,0,0,0,0.000460753610842652
"1965","鳥蛋",0.000199009195613668,0.000564180101160041,0.00140751141615261,0,0,0,0.00199197733322994,0
"1966","寧夏",0.000895541380261508,0.000752240134880055,0,0,0,0.00114784989892138,0.000497994333307485,0
"1967","凝乳",0.000190000126798787,0.000179546629201754,0.000335948480565298,0.00139509484538283,0.00331880471707693,0.000438354872333461,0,0
"1968","檸檬",0.0282756459755101,0.0270669785206402,0.0246731271768836,0.0215705709499671,0.0192429155056342,0.0171561085390618,0.0156214732071728,0.0187461808670352
"1969","檸檬茶",0.000582153441797305,0.000733499076475867,0.00102933386162831,0,0,0.00022385055031024,0,0.000460753610842652
"1970","檸檬皮",0.000950000633993933,0.000359093258403508,0.000839871201413244,0.00139509484538283,0,0.000657532308500192,0,0.000902269795531847
"1971","檸檬水",0.00109455057587518,0.0013164202360401,0.000703755708076306,0,0,0,0,0.000472525964220695
"1972","檸檬糖",0.000665000443795753,0.000897733146008771,0.00100784544169589,0.00279018969076565,0,0.000657532308500192,0.000950900647397025,0
"1973","檸檬汁",0.00205232541576605,0.00158678984717686,0.00230924689686999,0.00136994578842166,0,0.00258271649346917,0.00326815642317876,0.00221501195868469
"1974","牛蒡",0.000205401231662389,0,0.000363179924381298,0,0,0.00189554885461429,0,0
"1975","牛肚",0.000398018391227337,0,0.000703755708076306,0,0,0.000688709939352826,0,0.000472525964220695
"1976","牛腱",0.000475000316996966,0.000897733146008771,0.000503922720847947,0,0,0.000438354872333461,0.000475450323698513,0.00180453959106369
"1977","牛角",0.00171000114118908,0.000897733146008771,0.00100784544169589,0,0,0.000438354872333461,0.00142635097109554,0.000451134897765924
"1978","牛奶",0.0384658950121387,0.0315781416074136,0.0308414089711045,0.0323558564249507,0.0320715258427237,0.0292289256591424,0.0289456709427025,0.0283372501478439
"1979","牛奶糖",0.00223890045356296,0.00229202977925547,0.00181440827611213,0.00410983736526499,0.00325897738049908,0.000215226374455764,0,0.00221501195868469
"1980","牛腩",0.000194051147265768,0.000366749538237933,0.000343111287209436,0,0,0.00022385055031024,0,0.000921507221685303
"1981","牛排",0.00734432363000262,0.0102368700815242,0.00827848346066488,0.00539264273749179,0.0128286103370895,0.0252046532857822,0.0243511199994164,0.0126427731428842
"1982","牛排館",0.000970255736328842,0.000733499076475867,0.00120088950523303,0,0,0.00044770110062048,0.000485587469524607,0
"1983","牛肉",0.0192788495287569,0.0208207527081848,0.019154138203107,0.00674080342186473,0.0192429155056342,0.024992849476658,0.0266483954710595,0.038800234817817
"1984","牛肉湯",0.00228000152158544,0.00251365280882456,0.00352745904593562,0,0,0.00482190359566807,0.00475450323698513,0.00496248387542516
"1985","牛肉丸",0.000497522989034171,0,0.00052781678105723,0,0,0,0.00099598866661497,0.000945051928441391
"1986","牛乳",0.00161500107778969,0.00125682640441228,0.000503922720847947,0.00139509484538283,0,0.000438354872333461,0.000950900647397025,0
"1987","牛舌",0.000718904310818363,0,0.000181589962190649,0,0,0,0,0.000487703167404405
"1988","牛舌餅",0.000497522989034171,0.000376120067440027,0.000175938927019077,0,0,0.000229569979784275,0,0
"1989","牛軋糖",0.00154050923746792,0.00135870273247493,0,0,0,0,0.00205595825070955,0
"1990","牛油",0.000475000316996966,0,0.000335948480565298,0.00279018969076565,0,0.000219177436166731,0.000950900647397025,0.000451134897765924
"1991","紐西蘭",0.00069653218464784,0.000188060033720014,0.000175938927019077,0,0,0,0.00248997166653742,0
"1992","紐約",0.000776204589063073,0.0016503729220707,0.000857778218023589,0,0,0.00246235605341264,0.000485587469524607,0
"1993","農場",0.000308101847493584,0.000194100390353561,0,0,0,0.000947774427307145,0,0
"1994","農曆",0.000194051147265768,0.000366749538237933,0.000171555643604718,0.00142483986643753,0,0.00044770110062048,0,0
"1995","農藥",0.000873230162695957,0.000916873845594834,0,0.00142483986643753,0,0.00022385055031024,0,0.000460753610842652
"1996","濃度",0.000475000316996966,0.000179546629201754,0.00134379392226119,0,0,0.00241095179783404,0.00237725161849256,0.000451134897765924
"1997","女店員",0.000186575037796913,0.00123416988113756,0.000164946206919285,0.00136994578842166,0,0.00107613187227882,0.000466879489025537,0.000443002391736937
"1998","女兒",0.00180500120458847,0.00125682640441228,0.000839871201413244,0.00139509484538283,0,0.000219177436166731,0,0.000451134897765924
"1999","女孩兒",0.000485127868164421,0.000183374769118967,0.000686222574418872,0,0,0.00022385055031024,0.000971174939049215,0
"2000","女老闆",0.000205401231662389,0.000194100390353561,0.000544769886571948,0,0,0,0,0
"2001","女朋友",0.00057000038039636,0.000538639887605262,0.000503922720847947,0,0,0.0050410810318348,0.00332815226588959,0.00315794428436146
"2002","女僕",0.000308101847493584,0,0.000181589962190649,0,0,0.000947774427307145,0,0
"2003","女人",0.000970255736328842,0.000733499076475867,0,0.00142483986643753,0,0.00067155165093072,0.000485587469524607,0
"2004","女神",0.000485127868164421,0.000366749538237933,0.000343111287209436,0,0,0.00044770110062048,0.000485587469524607,0
"2005","女王",0.000102700615831195,0,0,0,0,0.000947774427307145,0,0.000487703167404405
"2006","女性",0.000367216181500131,0.000173506272568206,0.000162323205111076,0.00404448205311884,0.00320715258427237,0.00148262666386954,0.00183782037731445,0.00130787308374664
"2007","女子",0.0041800027895733,0.00395002584243859,0.00571112416961006,0.00697547422691413,0,0.00109588718083365,0.000950900647397025,0
"2008","糯",0.000308101847493584,0,0,0,0,0,0.000513989562677386,0.000975406334808811
"2009","糯米",0.00149260030237531,0.00158678984717686,0.00115462344843499,0,0.00977693214149724,0.00193703737010188,0.00186751795610215,0.00177200956694775
"2010","糯米飯",9.70255736328842e-05,0.000183374769118967,0.000171555643604718,0,0,0.00022385055031024,0,0.000921507221685303
"2011","糯米粉",0.00228000152158544,0.000897733146008771,0.00100784544169589,0,0.00995641415123079,0,0.00142635097109554,0.00225567448882962
